Epoch_Index,Predicted_Cluster,Probability
3,0,0.9781284
4,0,0.60684156
5,1,0.82152706
6,0,0.63232386
7,0,0.88923573
8,0,0.88328975
9,1,0.99832934
10,1,0.9987255
11,1,0.99881136
12,1,0.99629635
13,1,0.9979272
14,1,0.99794716
15,1,0.99600023
16,1,0.9969555
17,1,0.99839896
18,1,0.61757857
19,1,0.6129937
20,1,0.6271386
21,1,0.6221517
22,1,0.61257374
23,1,0.60445017
24,1,0.6255631
25,1,0.63391435
26,1,0.62878615
27,1,0.623357
28,1,0.6184411
29,2,0.8800963
30,2,0.8405055
31,2,0.80096304
32,3,0.9812548
33,3,0.9911634
34,3,0.9899451
35,3,0.9937576
36,3,0.9743987
37,3,0.98559904
38,3,0.9908127
39,4,0.79256815
40,4,0.72815883
41,4,0.7122921
42,4,0.7849986
43,4,0.9111209
44,4,0.79634446
45,4,0.7086399
46,4,0.7780986
47,4,0.8472643
48,3,0.5505226
49,4,0.70275307
50,4,0.7959712
51,4,0.59843755
52,5,0.62839
53,5,0.6547503
54,5,0.65150934
55,7,0.7457746
56,5,0.585963
57,5,0.59887683
58,5,0.6836063
59,8,0.28949583
60,5,0.6482204
61,5,0.6536427
62,5,0.6729831
63,5,0.58612055
64,6,0.5484974
65,5,0.36814943
66,5,0.70397544
67,6,0.33030185
68,5,0.62290424
69,8,0.7143312
70,9,0.53793085
71,9,0.6047966
72,9,0.75838655
73,7,0.61986494
74,7,0.55241007
75,9,0.65104634
76,7,0.54847986
77,7,0.6088596
78,7,0.6007877
79,7,0.67789334
80,7,0.6642962
81,6,0.38604984
82,7,0.30608734
83,6,0.43916765
84,7,0.5647581
85,7,0.5636024
86,7,0.49321324
87,7,0.5841505
88,7,0.55137444
89,7,0.59195894
90,9,0.51951766
91,7,0.58386344
92,7,0.49372825
93,7,0.64528626
94,7,0.6114133
95,7,0.59127873
96,9,0.67988586
97,7,0.46175084
98,7,0.46175084
99,7,0.46175084
100,7,0.46175084
101,9,0.7881072
102,9,0.7961589
103,9,0.8280511
104,1,0.99728346
105,1,0.99728346
106,1,0.99728346
